msk.id,Valerate,Hexanoate,Isobutyrate,Isovalerate,2-Methylbutyrate,5-Aminovalerate,Glycine,Alanine,Proline,Valine,Threonine,Cysteine,Leucine,Isoleucine,Aspartate,Lysine,Glutamate,Methionine,Phenylalanine,Tryptophan,Tyramine,Benzoate,Phenylacetate,Palmitate
MSK.19.36,-0.342517862,-0.907584506,1.43650757,4.411766037,5.847043417,-0.713376712,0.504263262,0.49317714,0.836167231,0.567284129,-0.352440726,-0.364400193,0.492124455,0.564035543,-5.184274946,0.041007574,-0.579012515,0.151645847,0.374833645,-0.68345108,-0.032019977,0.249106049,0.281312984,0.394414212
MSK.20.40,-0.512734436,-0.814563678,1.30773468,4.174092233,5.330153846,-0.419413207,0.914339508,1.022037534,1.028602413,0.576207469,-0.333148233,0.299369479,0.410945952,0.399591262,-5.03944645,-0.412765732,-3.427345012,-0.071392933,0.778955902,-0.246485581,-0.45350328,0.012859358,0.316008902,0.024306345
DFI.1.83,-0.342517862,-1.508868864,1.732846386,4.877109718,6.214403888,-0.436111427,0.443451713,0.525820057,0.910349586,0.521242945,-0.442951288,-0.868556371,0.442000238,0.49021208,-5.295132035,-0.101021745,-0.428046582,0.047513373,0.300364941,-0.885059608,-0.066990299,0.267870332,0.413224984,0.506351129
DFI.3.65,-0.123720643,-0.480507356,1.08480386,3.963471132,5.324862138,-0.669109545,0.774566222,0.647209796,1.140412208,0.61865614,-0.142144611,0.188169759,0.54200679,0.611045482,-0.964353261,0.183742446,0.209005391,0.36166228,0.493993221,-0.54121605,-0.247377676,0.327186414,0.280429853,0.463498297
DFI.3.92,-0.342517862,-0.322446355,0.878051735,3.405581248,4.632844508,-0.390515116,0.4987077,0.539094364,0.85551292,0.588051191,-0.350744314,-0.036942691,0.518220823,0.564841412,-3.374224311,0.026698672,-0.303527056,0.144715315,0.408019878,-0.763559197,-0.041811362,0.468831094,0.559306246,0.586696394
DFI.4.135,-0.342517862,-1.043395278,1.371099793,4.309821086,5.777939318,-0.97088068,0.590998408,0.572772848,0.928718034,0.613981702,-0.224423259,-1.23197401,0.579259889,0.582947095,-5.664661833,0.030718849,-0.471196898,0.112251499,0.42662553,-0.78585341,-0.009215344,0.327983082,0.601466165,0.520958249
DFI.5.25,-0.342517862,-0.273974622,0.891754249,3.395241189,4.539456701,-0.752290519,0.367375168,0.472134282,0.627595751,0.448517573,-0.534291102,-0.461202727,0.498127755,0.455928508,-4.899507236,-0.099650909,-0.639539392,-0.01304353,0.32437764,-0.896844648,-0.022185328,0.551520099,0.423771754,0.409906199
DFI.6.58,-0.342517862,-0.766542153,1.167567937,3.823411614,5.263644156,-0.24448332,0.392342349,0.497974603,0.748613556,0.520139094,-0.423184074,-0.70141478,0.400225163,0.487142798,-5.126045989,-0.0742571,-0.672475695,0.024767087,0.327751088,-0.649012575,-0.037127251,0.372637643,0.658176778,0.365763993
DFI.6.64,-0.342517862,-0.962862678,1.430332061,4.385418254,5.838756498,-0.612086224,0.425834048,0.440145024,0.7597137,0.526783264,-0.387195238,-1.192522449,0.425413172,0.448022517,-5.466643861,-0.003688797,-0.539919899,0.038301246,0.273784581,-0.839555098,-0.016453827,0.406757531,0.497166326,0.321186975
MSK.10.8,-0.566067136,-0.111815082,2.443849281,5.57014159,7.287082974,0.270788862,0.831612664,1.005398656,2.030181856,0.949073925,0.628398475,0.827685877,0.410616061,0.78866223,-4.112331096,0.486262436,0.695633037,0.77181554,0.653945282,0.504730393,-0.330311888,0.332958171,0.53615787,0.226472971
MSK.15.52,-0.342517862,-0.740511558,1.336691524,4.343795706,5.700553765,-0.508652656,0.616112315,0.608820166,1.052689517,0.625908261,-0.160818661,-0.442404217,0.575375434,0.588585222,-3.489910169,0.065664886,-0.064481294,0.308781231,0.453998716,-0.533826255,-0.104817903,0.364314579,0,0.193201391
MSK.16.84,-0.342517862,-1.233467762,1.174626706,4.17904705,5.633060625,-0.97088068,0.804170755,0.814438485,1.304460239,0.830657483,-0.358910529,0.041787671,0.801870973,0.74530409,-3.648335581,0.162754717,-0.099465448,0.340555896,0.670380235,-0.516889743,-0.052558283,0.725655755,0,0.446011117
